1.0	0.0940000000	200
1.5	0.1351374320	200
2.0	0.1663978700	200
2.5	0.1926509190	200
3.0	0.2157324700	400
3.5	0.2365726610	400
4.0	0.2557200500	400
4.5	0.2735303810	400
5.0	0.2902498800	600
5.5	0.3060573770	600
6.0	0.3210876000	600
6.5	0.3354450360	600
7.0	0.3492126800	800
7.5	0.3624577510	800
8.0	0.3752355900	800
8.5	0.3875924060	800
9.0	0.3995672800	1000
9.5	0.4111935510	1000
10.0	0.4225000100	1000
10.5	0.4329264190	1000
11.0	0.4431075500	1300
11.5	0.4530599578	1300
12.0	0.4627983900	1300
12.5	0.4723360830	1300
13.0	0.4816849500	1600
13.5	0.4908558000	1600
14.0	0.4998584400	1600
14.5	0.5087017650	1600
15.0	0.5173939500	1900
15.5	0.5259425110	1900
16.0	0.5343543300	1900
16.5	0.5426357670	1900
17.0	0.5507926900	2200
17.5	0.5588305760	2200
18.0	0.5667545200	2200
18.5	0.5745691530	2200
19.0	0.5822789100	2500
19.5	0.5898879170	2500
20.0	0.5974000100	2500
20.5	0.6048188140	2500
21.0	0.6121572900	3000
21.5	0.6193993650	3000
22.0	0.6265671300	3000
22.5	0.6336445330	3000
23.0	0.6406529500	3500
23.5	0.6475764260	3500
24.0	0.6544356300	3500
24.5	0.6612148060	3500
25.0	0.6679340000	4000
25.5	0.6745775370	4000
26.0	0.6811649200	4000
26.5	0.6876806480	4000
27.0	0.6941436500	4500
27.5	0.7005386730	4500
28.0	0.7068842100	4500
28.5	0.7131649960	4500
29.0	0.7193990900	5000
29.5	0.7255715520	5000
30.0	0.7317000000	5000
30.5	0.7347410090	5000
31.0	0.7377694800	6000
31.5	0.7407855740	6000
32.0	0.7437894300	6000
32.5	0.7467812110	6000
33.0	0.7497610400	7000
33.5	0.7527290870	7000
34.0	0.7556855100	7000
34.5	0.7586303780	7000
35.0	0.7615638400	8000
35.5	0.7644860650	8000
36.0	0.7673971700	8000
36.5	0.7702972660	8000
37.0	0.7731865000	9000
37.5	0.7760649620	9000
38.0	0.7789327500	9000
38.5	0.7817900550	9000
39.0	0.7846369700	10000
39.5	0.7874735780	10000
40.0	0.7903000100	10000
